component,explained_variance_ratio,cumulative_explained_variance
509,0.00016609134036116302,0.9739556180429645
510,0.0001651118800509721,0.9741207299230155
511,0.00016410922398790717,0.9742848391470034
512,0.00016366255294997245,0.9744485016999533
513,0.00016256289381999522,0.9746110645937733
514,0.00016163037798833102,0.9747726949717617
515,0.0001607521844562143,0.9749334471562179
516,0.0001601039693923667,0.9750935511256102
517,0.00015942769823595881,0.9752529788238462
518,0.0001590361207490787,0.9754120149445953
519,0.00015860647545196116,0.9755706214200472
520,0.00015823487774468958,0.9757288562977919
521,0.00015729755978100002,0.9758861538575729
522,0.00015678067575208843,0.976042934533325
523,0.00015589022950734943,0.9761988247628324
524,0.00015533034456893802,0.9763541551074013
525,0.00015494809485971928,0.976509103202261
526,0.0001540855155326426,0.9766631887177937
527,0.00015327776782214642,0.9768164664856158
528,0.0001530042354715988,0.9769694707210874
529,0.00015233788872137666,0.9771218086098088
530,0.00015140592586249113,0.9772732145356713
531,0.0001505691179772839,0.9774237836536486
532,0.0001504150131950155,0.9775741986668436
533,0.00014979278785176575,0.9777239914546954
534,0.000149253144627437,0.9778732445993228
535,0.00014863250544294715,0.9780218771047657
536,0.00014809709682594985,0.9781699742015917
537,0.00014734259457327425,0.978317316796165
538,0.00014671855024062097,0.9784640353464056
539,0.0001464575616410002,0.9786104929080466
540,0.0001460355124436319,0.9787565284204902
541,0.0001454174635000527,0.9789019458839903
542,0.0001450096897315234,0.9790469555737218
543,0.00014455711061600596,0.9791915126843378
544,0.00014346659008879215,0.9793349792744266
545,0.00014267080405261368,0.9794776500784792
546,0.00014251499669626355,0.9796201650751755
547,0.00014221049787010998,0.9797623755730456
548,0.00014161135186441243,0.97990398692491
549,0.00014130232739262283,0.9800452892523026
550,0.00014024210395291448,0.9801855313562555
551,0.00014004390686750412,0.980325575263123
552,0.00013945317186880857,0.9804650284349918
553,0.0001385431969538331,0.9806035716319457
554,0.00013776225387118757,0.9807413338858169
555,0.00013727469195146114,0.9808786085777683
556,0.0001371294492855668,0.9810157380270539
557,0.0001366420037811622,0.981152380030835
558,0.00013570593728218228,0.9812880859681172
559,0.00013535370817407966,0.9814234396762913
560,0.00013515498721972108,0.981558594663511
561,0.0001341066526947543,0.9816927013162058
562,0.00013352303358260542,0.9818262243497884
563,0.00013296784891281277,0.9819591921987012
564,0.00013226245937403291,0.9820914546580752
565,0.00013185168791096658,0.9822233063459862
566,0.00013172664330340922,0.9823550329892896
567,0.00013129606668371707,0.9824863290559733
568,0.00013064000813756138,0.9826169690641109
569,0.00013013665738981217,0.9827471057215007
570,0.00012967837392352521,0.9828767840954242
571,0.00012893906387034804,0.9830057231592946
572,0.0001278053823625669,0.9831335285416571
573,0.000127074119518511,0.9832606026611757
574,0.00012684067769441754,0.9833874433388701
575,0.00012623037036973983,0.9835136737092398
576,0.00012593228893820196,0.983639605998178
577,0.0001256454997928813,0.9837652514979709
578,0.000125360835227184,0.9838906123331981
579,0.00012503711332101375,0.9840156494465191
580,0.00012447724293451756,0.9841401266894536
581,0.0001231437490787357,0.9842632704385323
582,0.00012235136819072068,0.9843856218067231
583,0.00012218774645589292,0.984507809553179
584,0.00012176117888884619,0.9846295707320678
585,0.00012116259313188493,0.9847507333251997
586,0.00012089455412933603,0.984871627879329
587,0.00012060730659868568,0.9849922351859277
588,0.00011988980259047821,0.9851121249885182
589,0.00011973583605140448,0.9852318608245696
590,0.00011962870485149324,0.9853514895294211
591,0.00011914787319255993,0.9854706374026136
592,0.0001189866743516177,0.9855896240769653
593,0.00011790442658821121,0.9857075285035535
594,0.00011767974501708522,0.9858252082485706
595,0.00011737705790437758,0.9859425853064749
596,0.00011686889047268778,0.9860594541969476
597,0.00011618863936746493,0.9861756428363151
598,0.00011567269393708557,0.9862913155302522
599,0.00011540400009835139,0.9864067195303505
600,0.00011435385385993868,0.9865210733842105
601,0.0001137314538937062,0.9866348048381042
602,0.00011344243830535561,0.9867482472764095
603,0.00011306847591185942,0.9868613157523214
604,0.00011265913053648546,0.9869739748828579
605,0.00011196170817129314,0.9870859365910292
606,0.00011191593512194231,0.9871978525261511
607,0.00011112376523669809,0.9873089762913878
608,0.00011053045454900712,0.9874195067459368
609,0.00011016477947123349,0.987529671525408
610,0.00010989920701831579,0.9876395707324264
611,0.00010966906847897917,0.9877492398009053
612,0.00010957506310660392,0.987858814864012
613,0.00010858876339625567,0.9879674036274082
614,0.00010801642201840878,0.9880754200494266
615,0.00010778448631754145,0.9881832045357442
616,0.00010749700595624745,0.9882907015417004
617,0.00010680504783522338,0.9883975065895356
618,0.00010598397784633562,0.988503490567382
619,0.00010575226770015433,0.9886092428350821
620,0.00010533097520237789,0.9887145738102845
621,0.00010512628796277568,0.9888197000982473
622,0.0001044844975695014,0.9889241845958168
623,0.00010407557419966906,0.9890282601700164
624,0.00010344255133531988,0.9891317027213518
625,0.00010312455560779199,0.9892348272769595
626,0.0001024177108774893,0.989337244987837
627,0.0001020569761749357,0.989439301964012
628,0.00010179745004279539,0.9895410994140548
629,0.0001011679123621434,0.9896422673264169
630,0.00010086415568366647,0.9897431314821006
631,0.00010054284211946651,0.98984367432422
632,0.00010029422992374748,0.9899439685541438
633,9.990603575715795e-05,0.990043874589901
634,9.950660751201212e-05,0.990143381197413
635,9.902159217745066e-05,0.9902424027895904
636,9.879118442768231e-05,0.9903411939740181
637,9.825498273130506e-05,0.9904394489567494
638,9.76436713244766e-05,0.9905370926280739
639,9.736671927385032e-05,0.9906344593473477
640,9.7146890766453e-05,0.9907316062381142
641,9.671754378359765e-05,0.9908283237818978
642,9.647552360547706e-05,0.9909247993055033
643,9.575847798259929e-05,0.9910205577834859
644,9.520268213236704e-05,0.9911157604656182
645,9.470819350099191e-05,0.9912104686591192
646,9.447972115594894e-05,0.9913049483802752
647,9.370561019750312e-05,0.9913986539904727
648,9.337608207715675e-05,0.9914920300725498
649,9.308864537160844e-05,0.9915851187179214
650,9.268437861464918e-05,0.9916778030965361
651,9.19156736927107e-05,0.9917697187702288
652,9.180380584439263e-05,0.9918615225760732
653,9.17100187507458e-05,0.9919532325948239
654,9.127250086748973e-05,0.9920445050956914
655,9.066372876986861e-05,0.9921351688244613
656,9.031873196363449e-05,0.9922254875564249
657,9.005505125969648e-05,0.9923155426076846
658,8.961525600170717e-05,0.9924051578636863
659,8.936525409808382e-05,0.9924945231177844
660,8.855667692841962e-05,0.9925830797947128
661,8.826846169540659e-05,0.9926713482564082
662,8.800216164672747e-05,0.992759350418055
663,8.748177060624585e-05,0.9928468321886612
664,8.73529861564748e-05,0.9929341851748177
665,8.65891415742226e-05,0.9930207743163919
666,8.619790605735034e-05,0.9931069722224493
667,8.58521816553548e-05,0.9931928244041046
668,8.55929683893919e-05,0.993278417372494
669,8.490230538882315e-05,0.9933633196778828
670,8.463374979328364e-05,0.9934479534276761
