generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,candidate_type,probability_path
2026-06-01T08:38:57.878889+00:00,42,train,blend_dl02_xgb00_lgbm08,0.5,default_0.5,0.9299535474384253,0.9259532721909132,0.9733258720387987,0.8521966356361261,0.9087425983977708,17677,12246,0.9853438432852145,0.9804836991341271,0.07407025314624954,17391,286,1810,10436,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.896555+00:00,42,val,blend_dl02_xgb00_lgbm08,0.5,default_0.5,0.8704194604709184,0.8613047532243855,0.9179487179487179,0.7503810975609756,0.8257496330467603,3789,2624,0.9165601021731714,0.9084970062098267,0.10620037854613917,3613,176,655,1969,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.905454+00:00,42,test,blend_dl02_xgb00_lgbm08,0.5,default_0.5,0.8701075939497895,0.8609947254003698,0.9170936190032604,0.7503810975609756,0.825403479354433,3789,2624,0.9145338680969944,0.9020831602469894,0.10760627130275387,3611,178,655,1969,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.915789+00:00,42,train,blend_dl02_xgb01_lgbm07,0.5,default_0.5,0.9265447983156769,0.9222522859031708,0.971914334022168,0.8449289563939245,0.9039839245151144,17677,12246,0.9832525919153294,0.9779466693459359,0.0767604534102983,17378,299,1899,10347,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.933697+00:00,42,val,blend_dl02_xgb01_lgbm07,0.5,default_0.5,0.8702635272103539,0.8610783222635824,0.9186915887850468,0.7492378048780488,0.8253568429890848,3789,2624,0.9165566321637086,0.9084571375353685,0.10662451810051621,3615,174,658,1966,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.942538+00:00,42,test,blend_dl02_xgb01_lgbm07,0.5,default_0.5,0.8687041946047092,0.859432716647802,0.9159663865546218,0.7477134146341463,0.8233319345362988,3789,2624,0.9141114321624213,0.9017868074337634,0.10821118744892994,3609,180,662,1962,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.952579+00:00,42,train,blend_dl02_xgb02_lgbm06,0.5,default_0.5,0.921531931958694,0.9168015879315625,0.9694555112881806,0.8345582230932549,0.8969633140249254,17677,12246,0.9807704110574911,0.9750073533848767,0.07954977162853631,17355,322,2026,10220,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.970386+00:00,42,val,blend_dl02_xgb02_lgbm06,0.5,default_0.5,0.8704194604709184,0.8612333760779359,0.9191210846189808,0.7492378048780488,0.8255301280705438,3789,2624,0.9164310077631657,0.9082415176562205,0.10710821140288616,3616,173,658,1966,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.978872+00:00,42,test,blend_dl02_xgb02_lgbm06,0.5,default_0.5,0.8679245283018868,0.8585128858689335,0.9161592505854801,0.7454268292682927,0.8220214330741753,3789,2624,0.9135283699927262,0.901342685733945,0.10887537596987687,3610,179,668,1956,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:57.989764+00:00,42,train,blend_dl02_xgb03_lgbm05,0.5,default_0.5,0.9163185509474318,0.9110982459834598,0.9671973911375408,0.8234525559366324,0.8895553987297107,17677,12246,0.9778122737617226,0.9715885059540366,0.08243821850031909,17335,342,2162,10084,weighted_blend,not_saved_candidate_probability
