generated_at_utc,seed,trial,status,objective,best_val_macro_f1,best_val_precision_fake,best_val_roc_auc,best_val_objective_score,elapsed_sec,pso_subset_ratio,pso_subset_rows,model_variant,learning_rate,dropout,cnn_filters,kernel_size,lstm_hidden,attention_dim,focal_gamma,batch_size,component_block_weights
2026-06-01T08:17:49.766848+00:00,42,35,ok,-0.7667477668467524,0.7422557604957611,0.774064837905237,0.8026897300594146,0.7667477668467524,23.70875644683838,0.2,5984,pso_trial_035,0.0013360200308607365,0.16745083478685144,192,5,128,96,2.1295041931519068,48,"[0.9411273954934167, 1.5, 1.0553226631110384, 1.5]"
2026-06-01T08:18:02.237083+00:00,42,36,ok,-0.7823249601651358,0.761960876461901,0.7807962529274005,0.8172842378290173,0.7823249601651358,11.830414533615112,0.2,5984,pso_trial_036,0.0006139640305627436,0.1,128,5,96,96,1.137786259584121,64,"[1.4898455542073834, 1.4342074170780605, 1.2504777498372477, 1.5]"
2026-06-01T08:18:11.466017+00:00,42,37,ok,-0.7869285560209749,0.7621109098538286,0.7890699904122723,0.8268636767053538,0.7869285560209749,8.56121015548706,0.2,5984,pso_trial_037,0.0006829879385659288,0.1,128,7,64,64,1.9977173480520567,32,"[1.03487081399603, 1.3136781055734332, 0.6, 1.5]"
2026-06-01T08:18:26.438997+00:00,42,38,ok,-0.7775696090214193,0.7407436452931546,0.8192634560906515,0.8111503171890388,0.7775696090214193,14.32461142539978,0.2,5984,pso_trial_038,0.0008404678418673313,0.23534622720201281,192,7,96,64,2.1875130931360105,32,"[1.5, 1.5, 0.6858595458857063, 1.5]"
2026-06-01T08:18:35.547385+00:00,42,39,ok,-0.7822439379255971,0.7612578742831959,0.7685688405797102,0.826337442226857,0.7822439379255971,8.385382175445557,0.2,5984,pso_trial_039,0.0008625587272531613,0.26343560603068983,128,7,64,96,2.5045720151576685,48,"[1.1846714046384463, 1.1408853776380419, 0.609586371562229, 1.114270437663181]"
2026-06-01T08:18:51.260155+00:00,42,40,ok,-0.7492483060471038,0.7350932673706525,0.6989591673338671,0.8063661296500139,0.7492483060471038,15.07368016242981,0.2,5984,pso_trial_040,0.0001690681862807513,0.16213274704603653,192,3,96,96,1.6759540311623877,48,"[1.158461147858374, 1.5, 0.8729433178283998, 1.3877963438849488]"
2026-06-01T08:19:04.584398+00:00,42,41,ok,-0.7781837492885662,0.7601254243306936,0.7655545536519387,0.8167004213094388,0.7781837492885662,12.833505630493164,0.2,5984,pso_trial_041,0.0002576437558808343,0.12506927992223688,128,5,96,96,1.864777265028218,48,"[1.315300131409562, 1.0331958200098694, 0.6445892119096462, 1.3694869038279065]"
2026-06-01T08:19:19.394723+00:00,42,42,ok,-0.7854115319376191,0.7650599389387744,0.7791072250345145,0.8235337248710967,0.7854115319376191,14.312344074249268,0.2,5984,pso_trial_042,0.00029545598263516114,0.1535010261950757,160,7,96,96,1.9944725801689678,48,"[1.3227995513619342, 1.5, 0.6, 0.8442391006636937]"
2026-06-01T08:19:34.261004+00:00,42,43,ok,-0.7863567743168466,0.7572460003661804,0.7992957746478874,0.8262487306805966,0.7863567743168466,14.216283082962036,0.2,5984,pso_trial_043,0.000753830185970228,0.1676171254408406,160,7,96,96,2.0932034715591525,48,"[1.3548574472560106, 1.328989009917537, 0.6478349552573209, 1.3075982146092435]"
2026-06-01T08:19:49.132391+00:00,42,44,ok,-0.7880520280465774,0.7650820139199804,0.7882797731568998,0.826183554850691,0.7880520280465774,14.185110092163086,0.2,5984,pso_trial_044,0.00037276489510007754,0.13353176169636644,160,7,96,96,1.7180448212574644,48,"[1.3331206100896182, 1.3696642947602764, 0.6, 1.3884927000408465]"
2026-06-01T08:20:12.370109+00:00,42,45,ok,-0.785873622176892,0.7522603284106548,0.8284449363586054,0.813514902332812,0.785873622176892,22.599897384643555,0.2,5984,pso_trial_045,0.0008944107541196314,0.15476761073784503,160,5,128,96,1.9793688923309747,48,"[1.0736912345443956, 1.5, 1.0595086687229018, 1.5]"
2026-06-01T08:20:26.142083+00:00,42,46,ok,-0.7876126381686763,0.7607130079304256,0.8093781855249745,0.8179349903282287,0.7876126381686763,13.212687969207764,0.2,5984,pso_trial_046,0.0005141063321760124,0.1048747212227222,160,5,96,96,1.2169834735850835,64,"[1.4392842748829433, 1.43394808581032, 1.0375137682447757, 1.5]"
2026-06-01T08:20:40.768659+00:00,42,47,ok,-0.7782845560348755,0.7614084375950702,0.7516087516087516,0.8241952897186335,0.7782845560348755,13.965448141098022,0.2,5984,pso_trial_047,0.0005342154851945865,0.1,160,7,96,64,1.9532382292207315,48,"[1.03610195740698, 1.3094068633224951, 0.6, 1.5]"
2026-06-01T08:20:56.103053+00:00,42,48,ok,-0.7693080769835721,0.7559504145614717,0.7220459952418715,0.8230789021815397,0.7693080769835721,14.715561389923096,0.2,5984,pso_trial_048,0.0006071528608936746,0.1782909026296205,192,7,96,64,1.8076030464456676,48,"[1.5, 1.4305665321895342, 0.6, 1.4936439415701548]"
2026-06-01T08:21:05.008834+00:00,42,49,ok,-0.7753195306119625,0.7577529714128495,0.7459366980325064,0.8241856843301212,0.7753195306119625,8.401581525802612,0.2,5984,pso_trial_049,0.00048516834754807535,0.2425478540815397,128,7,64,96,2.276476287162291,48,"[1.2974677274548894, 1.356654573178832, 0.6, 1.2192031135758796]"
