row_id,basic_char_len_log,basic_word_count_log,basic_rating_deviation,basic_sentiment_compound,basic_verified_purchase,adv_review_velocity_30d,adv_product_burst_7d,adv_reviewer_behavior_score,adv_time_gap_hours_log
172,3.9512436,2.3978953,2.9354343,-0.4588,1.0,0.0,0.0,-0.13156053,8.157623
173,4.204693,2.6390574,1.0645658,0.8877,0.0,0.0,0.0,0.038977303,8.157623
174,5.4764633,3.9512436,1.0645658,0.7169,0.0,0.0,0.0,0.24584901,8.157623
175,7.0130157,5.398163,1.0645658,0.9252,0.0,0.0,0.0,0.7097761,8.157623
176,4.890349,3.0445225,1.0645658,0.9477,1.0,0.0,1.0,0.22899203,8.157623
177,5.0238805,3.4011974,2.9354343,-0.6808,1.0,0.0,0.0,0.0026963274,8.157623
178,7.8624973,6.2025356,1.0645658,0.6362,1.0,0.0,0.0,0.75769234,8.157623
179,3.871201,1.9459101,1.0645658,0.8169,1.0,0.0,0.0,-0.074919015,8.157623
180,2.8903718,1.3862944,1.0645658,0.0,1.0,0.0,0.0,-0.7240022,8.157623
181,2.8332133,1.3862944,1.0645658,0.5859,1.0,0.0,0.0,-0.43490833,8.157623
182,5.0875964,3.4965076,0.9354343,0.7512,1.0,0.0,0.0,0.13309611,8.157623
183,4.543295,2.8332133,1.0645658,0.5962,1.0,0.0,0.0,-0.03290529,8.157623
184,7.089243,5.370638,1.0645658,0.9311,0.0,0.0,0.0,0.73050326,8.157623
185,4.276666,2.4849067,1.0645658,0.4404,1.0,0.0,0.0,-0.17515554,8.157623
186,3.988984,2.3025851,1.0645658,0.7269,1.0,0.0,0.0,-0.09404125,8.157623
187,3.5553482,1.9459101,0.06456572,0.4404,1.0,0.0,0.0,-0.65416074,8.157623
188,5.17615,3.5553482,1.0645658,0.9092,1.0,0.0,0.0,0.27542135,8.157623
189,4.6821313,2.944439,1.9354342,0.249,1.0,0.0,0.0,0.09156171,8.157623
190,7.5522375,5.886104,1.0645658,0.9973,1.0,0.0,0.0,0.8720665,8.157623
191,7.2363396,5.587249,1.0645658,0.8155,1.0,0.0,0.0,0.70496994,8.157623
192,3.1780539,1.609438,1.0645658,0.0,1.0,0.0,0.0,-0.6572685,8.157623
193,5.602119,4.060443,0.06456572,0.9773,1.0,0.0,0.0,0.09769534,8.157623
194,4.9767337,3.4339871,2.9354343,-0.1111,1.0,0.0,0.0,0.28575256,8.157623
195,4.3694477,2.8332133,1.0645658,0.8176,1.0,0.0,0.0,0.041020583,8.157623
196,5.5683446,3.9318256,1.0645658,0.9409,1.0,0.0,0.0,0.38275754,8.157623
197,4.9272537,3.218876,0.06456572,-0.3818,1.0,0.0,0.0,-0.76021487,8.157623
198,4.26268,2.7080503,1.0645658,0.4215,0.0,0.0,0.0,-0.18815325,8.157623
199,6.916715,5.209486,1.0645658,0.9888,0.0,0.0,0.0,0.7202579,8.157623
200,4.1271343,2.6390574,1.0645658,0.8103,1.0,0.0,0.0,-0.01895605,8.157623
201,5.123964,3.4339871,1.0645658,0.8464,1.0,0.0,0.0,0.23090796,8.157623
202,3.9702919,2.4849067,2.9354343,0.3595,1.0,0.0,0.0,0.29514065,8.157623
203,4.7095304,3.1354942,1.0645658,0.923,0.0,0.0,0.0,0.17430104,8.157623
204,6.3456364,4.624973,1.9354342,0.8428,1.0,0.0,0.0,0.7838748,8.157623
205,3.3322046,1.7917595,2.9354343,0.0,1.0,0.0,0.0,-0.038396016,8.157623
206,2.8332133,1.609438,2.9354343,-0.296,1.0,0.0,0.0,-0.30689743,8.157623
207,4.9698133,3.465736,0.9354343,0.8809,1.0,0.0,0.0,0.17270547,8.157623
208,5.351858,3.6888795,1.0645658,0.5233,1.0,0.0,0.0,0.11703728,8.157623
209,2.8903718,1.3862944,1.0645658,0.4215,1.0,0.0,0.0,-0.50648767,8.157623
